Open time,Open,High,Low,Close,Volume,Quote volume,Trade count,Taker base volume,Taker quote volume,signal
2020-01-01 00:00:00+00:00,129.16,129.19,128.68,128.87,7769.17336,1000929.7422114,2504,4149.93345,534619.3389655,2
2020-01-01 01:00:00+00:00,128.87,130.65,128.78,130.64,11344.65516,1474278.4816366,4885,5930.54276,770486.0566773,2
2020-01-01 02:00:00+00:00,130.63,130.98,130.35,130.85,7603.35623,994025.614057,3046,3324.35218,434675.4446554,1
2020-01-01 03:00:00+00:00,130.85,130.89,129.94,130.2,4968.55433,647360.9528607,2818,1810.03564,235890.3301966,1
2020-01-01 04:00:00+00:00,130.21,130.74,130.15,130.2,3397.90747,443006.650685,2264,1839.74371,239848.3483352,2
2020-01-01 05:00:00+00:00,130.2,130.47,130.11,130.3,4243.6064,552972.7079991,2426,1903.34492,248056.9563066,2
2020-01-01 06:00:00+00:00,130.31,130.75,130.26,130.44,3668.90166,478944.1589455,2347,2049.58504,267540.784227,2
2020-01-01 07:00:00+00:00,130.47,130.71,130.14,130.24,4147.17413,540770.7405488,2568,2099.12905,273719.6043975,2
2020-01-01 08:00:00+00:00,130.24,130.41,129.87,130.36,7541.44497,980893.9688145,3039,3767.79178,490054.2355352,1
2020-01-01 09:00:00+00:00,130.4,130.62,130.13,130.17,4808.20496,626819.0426497,2696,2444.93206,318758.2199437,1
2020-01-01 10:00:00+00:00,130.17,130.82,130.07,130.7,4625.5017,603575.6220223,2618,2056.89773,268377.9913351,1
2020-01-01 11:00:00+00:00,130.67,131.87,130.6,130.74,10847.79032,1424063.1861642,5977,5888.77446,773357.2060268,2
2020-01-01 12:00:00+00:00,130.74,131.61,130.7,131.61,4163.30667,546070.7660215,2862,2614.85418,343039.9584938,1
2020-01-01 13:00:00+00:00,131.6,131.9,131.28,131.68,7160.65302,942366.926113,3633,4431.55492,583217.8651796,1
2020-01-01 14:00:00+00:00,131.66,132.37,131.24,131.96,7325.25762,966235.3534692,3338,3312.40021,436976.7414413,1
